track_id,album_id,artist_id,explicit,track_name,track_popularity
2lzqa3Pp9b7ul5v2iXe9XD,5OQ46UiKltoHtHrGFXB1HI,1sBkRIssrMs1AbVkOJbc7a,False,Can't Say No,34
4T1WYLx5THs9vvXrberma2,5OQ46UiKltoHtHrGFXB1HI,1sBkRIssrMs1AbVkOJbc7a,True,Peace Sign,38
0yamdud6GJ8RJGxtqbX0xo,5OQ46UiKltoHtHrGFXB1HI,1sBkRIssrMs1AbVkOJbc7a,True,Very Best,32
6adehXz8vMUmXWJhEIdE6e,5OQ46UiKltoHtHrGFXB1HI,1sBkRIssrMs1AbVkOJbc7a,True,Sorry,55
0sFs1BgewdVt2DYI8ptW1x,5OQ46UiKltoHtHrGFXB1HI,1sBkRIssrMs1AbVkOJbc7a,True,D.O.P.E.,34
0KruPWd88IZpzJVv6N7bKT,5OQ46UiKltoHtHrGFXB1HI,1sBkRIssrMs1AbVkOJbc7a,True,Foreclosures,39
77fWL7hrNkrDyZHu7LyiNF,5OQ46UiKltoHtHrGFXB1HI,1sBkRIssrMs1AbVkOJbc7a,True,Money Dance,39
6MITnWyneHLgBRfre158zo,5OQ46UiKltoHtHrGFXB1HI,1sBkRIssrMs1AbVkOJbc7a,True,Carol City,35
2DfXiXBRqWfSYaN8Q6b3fM,7nOg3OdkfbwKqLX0FQxkir,1sBkRIssrMs1AbVkOJbc7a,True,Free Enterprise,32
0OzTYSu9l4BA0qlbz2sapU,7nOg3OdkfbwKqLX0FQxkir,1sBkRIssrMs1AbVkOJbc7a,True,Smile Mama, Smile,34
5w7tV3Nj4KlUNY1PAWJcKw,7nOg3OdkfbwKqLX0FQxkir,1sBkRIssrMs1AbVkOJbc7a,True,One Of Us,32
36OK9V0r5WlJExTQtzT68i,7nOg3OdkfbwKqLX0FQxkir,1sBkRIssrMs1AbVkOJbc7a,True,Silk Road,29
0S1B9dauZHu1QYy7YlpbqA,7nOg3OdkfbwKqLX0FQxkir,1sBkRIssrMs1AbVkOJbc7a,True,Color Money,31
0H8v07iynWl967MmPci9YB,7nOg3OdkfbwKqLX0FQxkir,1sBkRIssrMs1AbVkOJbc7a,True,Dope Dick,27
0w0GrhIswQHzjbitHqUTYJ,7nOg3OdkfbwKqLX0FQxkir,1sBkRIssrMs1AbVkOJbc7a,True,Crocodile Python,29
