album_id,artist_id,album_name,album_popularity,releaste_date
5xjO9figXtoXIkcOfXkx53,7d3WFRME3vBY2cgoP38RDo,No Rest,59,2018-08-13
16r5us2UP8zWoZtNZTiZM3,7d3WFRME3vBY2cgoP38RDo,Red Roses (4B Remix),36,2018-07-27
3AUH2zQ2ywSUGTrRzKaODJ,7d3WFRME3vBY2cgoP38RDo,Red Roses (LIOHN's Tokyo Drift Remix),56,2018-07-25
6P9zGPjYykCXllrvOab7AY,7d3WFRME3vBY2cgoP38RDo,Red Roses (Sober Rob & Oshi Remix),44,2018-07-25
6uOA8iiIvadA9WkVNUt24A,7d3WFRME3vBY2cgoP38RDo,Welcome To The Rodeo,31,2018-07-20
5lWYyz0CKJMEAq5ZKFccGZ,7d3WFRME3vBY2cgoP38RDo,World Rage,53,2018-06-22
3ePXj0CUe57ImxD0g97CRd,7d3WFRME3vBY2cgoP38RDo,I Know You (feat. Yung Pinch),57,2018-05-31
0VXR3HSaSuA1Vunj06a4Vn,7d3WFRME3vBY2cgoP38RDo,Creeping (feat. Rich the Kid),65,2018-03-23
4AOvRoeyztCFVvue9TqMnM,7d3WFRME3vBY2cgoP38RDo,Pop Star,48,2018-03-05
6WRXWFeEuHKO11fRgMopzu,7d3WFRME3vBY2cgoP38RDo,Nowadays (feat. Landon Cube),58,2017-12-20
7fd7SEK25VS3gJAUgSwL6y,6oMuImdp5ZcFhWP0ESe6mG,Culture II,80,2018-01-26
2AvupjUeMnSffKEV05x222,6oMuImdp5ZcFhWP0ESe6mG,Culture,76,2017-01-27
7Hd1Gqx8xFRAnQOLHAZxn3,6oMuImdp5ZcFhWP0ESe6mG,YRN 2 (Young Rich Niggas 2),50,2016-10-14
4Rj8KShBw1IrBW3A7wsEmi,6oMuImdp5ZcFhWP0ESe6mG,MigoThuggin,35,2016-03-18
7qLM7egb40QyDHa3CknQqs,6oMuImdp5ZcFhWP0ESe6mG,Rich Shooters,31,2015-11-01
4R8gIy454OjbyRspuPu5A7,6oMuImdp5ZcFhWP0ESe6mG,Currency,32,2015-09-02
0sv4nM5FtA8Y3DrvG4CXH8,6oMuImdp5ZcFhWP0ESe6mG,Yung Rich Nation,52,2015-07-31
1h9pT06vbTQV9HmVBNRH1i,6oMuImdp5ZcFhWP0ESe6mG,Yung Rich Nation,33,2015-07-31
