`dirty south rap` `gangster rap` `hip hop` `pop rap` `rap` `southern hip hop` `trap` 
`dfw rap` `melodic rap` `pop` `rap` 
`melodic rap` `pop` `pop rap` `rap` `trap` 
`atl hip hop` `pop` `pop rap` `rap` `southern hip hop` `trap` 
`alternative r&b` `atl hip hop` `hip hop` `melodic rap` `pop` `pop rap` `rap` `trap` 
`canadian hip hop` `melodic rap` `pop` `pop rap` `rap` `southern hip hop` `toronto rap` `trap` 
`hip hop` `pop` `pop rap` `rap` `southern hip hop` `trap` 
`hip hop` `melodic rap` `pop` `pop rap` `rap` `southern hip hop` `trap` 
`melodic rap` `philly rap` `pop rap` `rap` `trap` 
`chicago rap` `melodic rap` `pop` 
`atl hip hop` `hip hop` `melodic rap` `pop` `pop rap` `rap` `southern hip hop` `trap` 
`atl hip hop` `atl trap` `gangster rap` `melodic rap` `pop rap` `rap` `trap` 
`canadian hip hop` `hip hop` `melodic rap` `pop` `pop rap` `rap` `southern hip hop` `toronto rap` `trap` 
`new jersey rap` `pop` `pop rap` `rap` `southern hip hop` `trap` 
`hip hop` `pop` `pop rap` `rap` `southern hip hop` `trap` 
`pop` `pop rap` 
`dance pop` `edm` `pop` `pop rap` `post-teen pop` `tropical house` 
`detroit hip hop` `hip hop` `pop` `pop rap` `rap` `southern hip hop` `trap` 
`pop` `pop rap` `social media pop` 
`atl hip hop` `hip hop` `melodic rap` `pop` `pop rap` `rap` `southern hip hop` `trap` 
